,image_name,popularity_score,partial_faces,is_female,baby,child,teenager,youth,middle_age,senior
75,10004092_212287995647683_861628286_a,3.912,-1,-1,-1,-1,-1,1,-1,-1
76,10004092_273813302795823_1707401101_a,4.125,-1,1,-1,-1,-1,1,-1,-1
77,10004092_358482780968488_288993988_a,4.031000000000001,1,1,-1,-1,-1,1,-1,-1
78,10004094_1403144039957338_348231293_a,5.675,-1,1,-1,-1,-1,1,-1,-1
79,10004103_1468914103326302_277236405_a,4.522,-1,1,-1,-1,-1,1,-1,-1
80,10004103_1497429407147370_2017762591_a,4.918,-1,-1,-1,-1,-1,1,-1,-1
81,10004103_1583925098498394_1045480323_a,5.7410000000000005,-1,-1,-1,-1,-1,1,-1,-1
82,10004103_258034334376084_470548393_a,4.053,-1,1,-1,-1,-1,1,-1,-1
83,10004103_298952880258027_487477134_a,4.46,-1,1,-1,-1,-1,1,-1,-1
84,10004103_427170034085886_1306636975_a,3.449,-1,1,-1,-1,-1,1,-1,-1
85,10004103_496672343771989_426350733_a,4.556,-1,-1,-1,-1,-1,1,-1,-1
86,10004103_730657770319736_1507777533_a,4.728,1,1,-1,-1,-1,1,-1,-1
87,10004103_763232037034132_200580467_a,4.6160000000000005,-1,1,-1,-1,-1,1,-1,-1
88,10004103_784876908192082_171115415_a,5.478,-1,1,-1,-1,-1,1,-1,-1
89,10004103_848133601868400_1654549250_a,4.718,-1,1,-1,-1,-1,-1,-1,-1
90,10004104_495450143910460_1680949227_a,3.7680000000000002,-1,1,-1,-1,-1,1,-1,-1
91,10004111_1418684108391435_1732380963_a,4.9639999999999995,-1,1,-1,-1,-1,1,-1,-1
92,10004111_1458666134369005_1719203379_a,4.258,-1,1,-1,-1,-1,1,-1,-1
93,10004111_1463589083874958_2134699238_a,4.099,-1,1,-1,-1,-1,1,-1,-1
94,10004111_1487915991437018_529453936_a,4.0889999999999995,1,1,-1,-1,-1,1,-1,-1
95,10004111_223245464550344_34007812_a,5.574,1,1,-1,-1,-1,1,-1,-1
96,10004111_232217286971335_467797713_a,5.085,-1,-1,-1,-1,-1,1,-1,-1
97,10004111_519023201551414_1030346671_a,4.038,-1,1,-1,-1,-1,1,-1,-1
98,10004111_589166334513305_371877549_a,3.51,1,1,-1,-1,-1,1,-1,-1
99,10004111_642435325803835_1066028831_a,4.3069999999999995,1,1,-1,-1,-1,1,-1,-1
100,10004111_737838749582793_1234145479_a,3.839,-1,1,-1,-1,-1,1,-1,-1
101,10004111_746296435404222_446055278_a,4.73,1,1,-1,-1,-1,1,-1,-1
102,10004113_1401067366835148_2059786719_a,4.707,-1,-1,-1,-1,-1,1,-1,-1
103,10004113_532815613506636_2147116009_a,5.434,-1,1,-1,-1,-1,1,-1,-1
104,10004115_231545790374682_1194901081_a,3.4389999999999996,1,1,-1,-1,-1,1,-1,-1
105,10004115_745401702171931_569320009_a,4.095,-1,-1,-1,-1,-1,-1,-1,-1
106,10004116_1413284602266797_2139880954_a,5.119,-1,1,-1,-1,1,-1,-1,-1
107,10004116_242523942601910_1851360834_a,4.463,-1,1,-1,-1,-1,1,-1,-1
108,10004116_478484388944627_57197374_a,4.362,1,1,-1,-1,-1,1,-1,-1
109,10004116_653030634733773_1623379572_a,5.1080000000000005,-1,1,-1,-1,-1,1,-1,-1
110,10004126_1411805982415920_672706190_a,3.5410000000000004,1,1,-1,-1,-1,1,-1,-1
111,10004126_210650979143991_1355733614_a,4.354,-1,-1,-1,-1,-1,1,-1,-1
112,10004126_244002322450107_1223819319_a,5.15,-1,1,-1,-1,-1,1,-1,-1
113,10004126_270284669812343_712256325_a,3.883,1,-1,-1,-1,-1,1,-1,-1
114,10004126_478593978909050_751453659_a,4.856,-1,1,-1,-1,-1,1,-1,-1
115,10004126_522157571227760_140489748_a,4.5969999999999995,-1,1,-1,-1,-1,1,-1,-1
116,10004126_602887086469379_1010430442_a,4.814,-1,1,-1,-1,1,-1,-1,-1
117,10004126_643052445749076_1118020415_a,4.845,-1,-1,-1,-1,-1,-1,-1,-1
118,10004126_644355182303775_1566478263_a,5.055,-1,1,-1,-1,-1,1,-1,-1
119,10004126_658054797594994_1955389043_a,3.931,-1,-1,-1,-1,-1,1,-1,-1
120,10004126_682789901767827_704991758_a,4.088,-1,-1,-1,-1,-1,1,-1,-1
121,10004129_595337873877382_1902025506_a,3.16,1,1,-1,-1,-1,1,-1,-1
122,10004135_244646252388509_1811378677_a,3.9330000000000003,-1,-1,-1,-1,-1,1,-1,-1
123,10004136_1439971879579151_608104803_a,3.8369999999999997,-1,1,-1,-1,-1,1,-1,-1
124,10004136_1462910710608441_1708200646_a,4.596,-1,1,-1,-1,-1,1,-1,-1
125,10004136_300129033474855_1776296020_a,4.987,-1,1,-1,-1,-1,1,-1,-1
126,10004136_308472419304117_622283123_a,4.5969999999999995,-1,-1,-1,-1,-1,1,-1,-1
127,10004136_425109350966793_2071971089_a,3.905,-1,-1,-1,-1,-1,1,-1,-1
128,10004136_551198748328649_2136620419_a,5.167000000000001,-1,1,-1,-1,-1,-1,1,-1
129,10004136_619401681487941_661348233_a,4.348,-1,-1,-1,-1,-1,1,-1,-1
130,10004136_687252314667114_792654868_a,4.569,-1,-1,-1,-1,-1,1,-1,-1
131,10004136_695634387146348_762859213_a,5.207000000000001,-1,1,-1,-1,-1,1,-1,-1
132,10004140_1399301210346894_1447121791_a,4.548,-1,1,-1,-1,1,-1,-1,-1
133,10004140_1455386361363445_484071110_a,4.761,-1,1,-1,-1,-1,-1,-1,-1
134,10004140_226664164193345_1886910283_a,3.216,-1,1,-1,-1,-1,1,-1,-1
135,10004140_235257283329492_799062475_a,4.471,-1,1,-1,-1,1,-1,-1,-1
136,10004140_236374336568691_1571360404_a,4.297,-1,-1,-1,-1,-1,1,-1,-1
137,10004140_292925264199583_695792293_a,4.928999999999999,1,1,-1,-1,-1,1,-1,-1
138,10004140_305029942981930_1813939840_a,4.446000000000001,1,0,-1,1,-1,-1,-1,-1
139,10004140_807301522633168_1839795807_a,2.5660000000000003,-1,1,-1,-1,-1,-1,-1,-1
140,10004147_680578952001854_698660429_a,4.626,-1,1,-1,-1,-1,1,-1,-1
141,10004148_225088274365995_594092415_a,3.627,1,1,-1,-1,-1,1,-1,-1
142,10004148_226530307544012_1415437645_a,4.1160000000000005,-1,-1,-1,-1,-1,1,-1,-1
143,10004148_261163764056546_1024009796_a,4.1419999999999995,1,1,-1,-1,-1,-1,-1,-1
144,10004148_270078349831712_1306317179_a,3.3169999999999997,-1,1,-1,-1,-1,1,-1,-1
145,10004148_443316285815150_1778740521_a,4.191,-1,1,-1,-1,-1,1,-1,-1
146,10004148_474571642672119_226059470_a,3.906,-1,-1,-1,-1,-1,1,-1,-1
147,10004148_530258050425520_809983734_a,4.97,1,1,-1,-1,-1,-1,-1,-1
148,10004148_567039433413742_16505108_a,3.6660000000000004,-1,1,-1,-1,-1,1,-1,-1
149,10004148_614523498623586_740175979_a,3.884,1,1,-1,-1,-1,1,-1,-1
150,10004158_234343946756722_715489445_a,4.213,-1,1,-1,-1,-1,1,-1,-1
151,10004158_287932724716868_76881583_a,4.0969999999999995,1,1,-1,-1,-1,1,-1,-1
152,10004158_567171816724089_2110724613_a,4.814,-1,1,-1,-1,-1,1,-1,-1
153,10004158_614904018590509_1034463358_a,3.9560000000000004,1,1,-1,-1,1,-1,-1,-1
154,10004158_726140957438198_2109818528_a,4.736000000000001,-1,1,-1,-1,-1,-1,-1,-1
155,10004158_746789778699221_1344817829_a,2.6,-1,1,-1,-1,-1,-1,-1,-1
156,10004164_1411528779111628_1206103561_a,3.812,-1,1,-1,-1,1,-1,-1,-1
157,10004164_1421127124807078_373157766_a,4.194,1,1,-1,-1,-1,1,-1,-1
158,10004164_1424699037779381_1053205805_a,4.58,1,1,-1,-1,-1,-1,-1,-1
159,10004164_1440440622867411_61540151_a,4.553,-1,1,-1,-1,-1,1,-1,-1
160,10004164_1453006231603215_160964624_a,4.627,-1,-1,-1,-1,-1,1,-1,-1
161,10004164_1486746398215743_1901830223_a,4.447,-1,1,-1,-1,-1,-1,-1,-1
162,10004164_225315654324311_839459755_a,4.4830000000000005,-1,1,-1,-1,-1,-1,-1,-1
163,10004164_232998166895064_1197991988_a,4.067,1,1,-1,-1,-1,-1,-1,-1
164,10004164_280999162069559_716454322_a,3.9130000000000003,-1,1,-1,-1,-1,1,-1,-1
165,10004164_292177254273301_1379575882_a,4.966,-1,1,-1,-1,-1,1,-1,-1
166,10004164_299462143537442_1336092451_a,3.466,-1,-1,-1,-1,-1,-1,1,-1
167,10004164_418333754969794_1478717934_a,3.9589999999999996,-1,1,-1,-1,-1,-1,-1,-1
168,10004164_455061941293099_1860231367_a,3.9530000000000003,-1,1,-1,-1,-1,-1,-1,-1
169,10004164_681799591879909_1358216422_a,4.6419999999999995,-1,0,1,-1,-1,-1,-1,-1
170,10004164_685967284792690_126676406_a,2.694,-1,1,-1,1,-1,-1,-1,-1
171,10004164_717878211596308_1496474860_a,4.604,-1,1,-1,1,-1,-1,-1,-1
172,10004164_736507433060761_161522404_a,4.2589999999999995,-1,1,-1,-1,-1,1,-1,-1
173,10004164_771066272933142_1551188390_a,5.233,-1,-1,-1,-1,-1,1,-1,-1
174,10004164_840860679274489_277704677_a,4.891,-1,-1,-1,-1,-1,-1,-1,-1
175,10004164_856673964359277_1870666192_a,5.1339999999999995,-1,-1,-1,-1,-1,-1,-1,-1
176,10004180_215905078620288_713758459_a,4.592,-1,1,-1,-1,-1,1,-1,-1
177,10004180_698452860217333_1157784722_a,4.539,-1,-1,-1,-1,-1,1,-1,-1
178,10004186_126988667492036_755997098_a,4.94,-1,1,-1,-1,-1,-1,-1,-1
179,10004186_1384941418413172_843712492_a,3.11,-1,-1,-1,-1,-1,1,-1,-1
180,10004186_1388533111427258_618096221_a,2.9130000000000003,-1,-1,-1,-1,1,-1,-1,-1
181,10004186_1463190103913052_688779187_a,4.952,-1,1,-1,-1,-1,1,-1,-1
182,10004186_230619113805557_1014348545_a,3.6180000000000003,-1,1,-1,-1,-1,-1,-1,-1
183,10004186_231409307065773_1773999751_a,4.559,1,1,-1,-1,-1,1,-1,-1
184,10004186_458093960988596_1404480371_a,4.624,-1,1,-1,-1,-1,1,-1,-1
185,10004186_626056537472719_1655458481_a,2.5669999999999997,-1,1,-1,-1,-1,-1,-1,-1
186,10004186_717910124918238_1312979589_a,5.172000000000001,1,1,-1,-1,-1,1,-1,-1
187,10004186_790283531001548_753376876_a,4.7139999999999995,-1,1,-1,-1,-1,-1,-1,-1
188,10004190_763859800300570_1671886051_a,4.186,1,1,-1,-1,-1,1,-1,-1
189,10004199_1422095151379860_459864066_a,4.986000000000001,1,1,-1,-1,-1,1,-1,-1
190,10004201_1458447587723965_542949337_a,4.651,-1,1,-1,-1,1,-1,-1,-1
191,10004201_1480925542122855_1564132509_a,5.1979999999999995,-1,1,-1,-1,-1,1,-1,-1
192,10004201_247453612104949_1252382471_a,3.9019999999999997,-1,1,-1,-1,-1,1,-1,-1
193,10004201_435908696543739_1948951285_a,4.599,-1,1,-1,-1,-1,1,-1,-1
194,10004201_569307643177245_281237491_a,4.743,-1,1,-1,-1,-1,1,-1,-1
195,10004201_583532545078612_596100422_a,3.552,1,-1,-1,-1,-1,-1,-1,-1
196,10004201_595995797163775_1780315070_a,4.155,-1,-1,-1,-1,-1,1,-1,-1
197,10004201_698070540239203_246981839_a,4.135,-1,-1,-1,-1,-1,-1,-1,-1
198,10004201_776618805682485_410885882_a,4.841,-1,-1,-1,-1,-1,1,-1,-1
199,10004207_1410018259266227_1702725376_a,3.795,-1,1,-1,-1,-1,1,-1,-1
200,10004207_1418083615117858_587771109_a,4.417,1,1,-1,-1,-1,-1,-1,-1
201,10004207_1423807194544389_223846740_a,4.254,-1,1,-1,-1,1,-1,-1,-1
202,10004207_1579248895633066_1571995026_a,4.141,-1,-1,-1,-1,-1,-1,-1,-1
203,10004207_497898553647335_1649650211_a,5.506,-1,1,-1,-1,-1,1,-1,-1
204,10004221_1381722998747799_1369134392_a,4.29,-1,-1,-1,-1,1,-1,-1,-1
205,10004221_1463508953882264_1272140141_a,4.779,-1,1,-1,-1,-1,1,-1,-1
206,10004221_235917933262560_345475917_a,4.71,-1,-1,-1,-1,-1,1,-1,-1
207,10004221_688378194534656_15120464_a,4.258,-1,-1,-1,-1,-1,1,-1,-1
208,10004221_688587827851451_1315581265_a,4.404,1,1,-1,-1,-1,1,-1,-1
209,10004227_1423237317931179_1737758833_a,4.641,-1,1,-1,-1,-1,1,-1,-1
210,10004227_234272903440011_947017192_a,4.603,-1,1,-1,-1,-1,1,-1,-1
211,10004227_277431989084008_913291894_a,4.098,-1,-1,-1,-1,-1,1,-1,-1
212,10004227_658319624203624_1070569560_a,5.64,-1,1,-1,-1,-1,1,-1,-1
213,10004227_807462112616535_1499246635_a,5.07,-1,1,-1,-1,-1,1,-1,-1
214,10004239_1480585635489088_1508375012_a,3.83,-1,-1,-1,-1,-1,1,-1,-1
215,10004240_1423094617944767_1556143126_a,5.37,-1,1,-1,-1,-1,1,-1,-1
216,10004240_271555136351638_311361482_a,4.025,1,1,-1,-1,-1,-1,-1,-1
217,10004240_627884573956762_1003838814_a,4.266,1,1,-1,-1,-1,1,-1,-1
218,10004240_705938399429584_418434557_a,3.898,-1,-1,-1,-1,-1,-1,1,-1
219,10004240_842622909086093_1930460761_a,3.5389999999999997,-1,1,-1,-1,-1,1,-1,-1
220,10004245_1387614478185974_2129771701_a,3.5639999999999996,-1,-1,-1,-1,1,-1,-1,-1
221,10004245_1398467583764346_303679636_a,4.59,1,1,-1,-1,-1,1,-1,-1
222,10004245_1433807726866611_1146384318_a,4.593999999999999,-1,1,-1,-1,-1,1,-1,-1
223,10004245_276836982483156_1029374326_a,2.8280000000000003,-1,1,-1,-1,-1,1,-1,-1
224,10004245_290862227745188_1055911141_a,4.042,1,1,-1,-1,-1,1,-1,-1
225,10004245_316824501775957_387797981_a,3.5639999999999996,1,1,-1,-1,-1,1,-1,-1
226,10004245_318188441663776_1975628107_a,3.9419999999999997,-1,1,-1,-1,-1,1,-1,-1
227,10004245_390450337762440_2002791208_a,4.948,-1,1,-1,-1,-1,1,-1,-1
228,10004245_451299101683336_1536691730_a,2.8930000000000002,-1,1,-1,-1,1,-1,-1,-1
229,10004245_517768801667726_1252421501_a,3.6889999999999996,-1,1,-1,-1,1,-1,-1,-1
230,10004245_561343720630100_906951406_a,5.015,-1,1,-1,-1,-1,1,-1,-1
231,10004245_697482603643117_371935474_a,4.474,1,1,-1,-1,-1,1,-1,-1
232,10004245_699823643410491_1277615044_a,4.272,-1,-1,-1,-1,-1,-1,-1,-1
233,10004245_763605030316840_1976146359_a,3.563,-1,-1,-1,-1,-1,1,-1,-1
234,10004255_1395574064054459_284657173_a,3.485,-1,1,-1,-1,-1,-1,-1,-1
235,10004255_1420983151489132_14749115_a,4.158,1,1,-1,-1,-1,1,-1,-1
236,10004255_1485189365043306_1625114994_a,5.902,-1,-1,-1,-1,1,-1,-1,-1
237,10004255_225999914274795_1585802549_a,4.25,-1,-1,-1,-1,-1,1,-1,-1
238,10004255_272257522946225_1260443694_a,4.636,1,1,-1,-1,-1,1,-1,-1
239,10004255_291834314306134_1910171158_a,4.561,1,1,-1,-1,-1,1,-1,-1
240,10004255_455723071225461_865600501_a,3.4819999999999998,-1,-1,-1,-1,-1,1,-1,-1
241,10004255_475350042565960_1706555632_a,4.438,-1,-1,-1,-1,-1,-1,-1,-1
242,10004255_482034318567073_2075621307_a,4.428,-1,-1,-1,-1,-1,1,-1,-1
243,10004255_564610590304430_726710833_a,4.322,-1,1,-1,-1,-1,-1,-1,-1
244,10004255_610995188982781_1268728189_a,3.33,1,1,-1,-1,-1,1,-1,-1
245,10004255_615298135230627_1928291803_a,3.616,-1,1,-1,-1,-1,1,-1,-1
246,10004255_692250444169616_480768390_a,4.718999999999999,-1,1,-1,-1,-1,1,-1,-1
247,10004255_704621896268609_1326211924_a,4.263,-1,-1,-1,-1,1,-1,-1,-1
248,10004255_742239655807327_489150420_a,4.3919999999999995,1,1,-1,-1,-1,1,-1,-1
249,10004258_694922340550813_873769555_a,3.947,-1,-1,-1,-1,-1,1,-1,-1
250,10004260_1436765166565930_700588805_a,4.215,-1,-1,-1,-1,-1,1,-1,-1
251,10004260_1439538359620644_1060146416_a,4.181,1,1,-1,-1,-1,-1,-1,-1
252,10004260_1512083112352370_307508174_a,3.306,-1,-1,-1,-1,-1,1,-1,-1
253,10004260_1575928609299233_1421424083_a,3.6060000000000003,1,1,-1,-1,-1,1,-1,-1
254,10004260_368024976672127_1483738044_a,4.68,1,1,-1,-1,-1,1,-1,-1
255,10004260_437099686436857_1431372417_a,3.77,-1,-1,-1,-1,-1,-1,-1,-1
256,10004260_525048070946238_1294561416_a,3.5410000000000004,-1,-1,-1,-1,-1,1,-1,-1
257,10004260_616198891799060_1008914885_a,3.59,-1,-1,-1,-1,-1,1,-1,-1
258,10004260_626844910717803_238210011_a,4.078,1,0,-1,-1,-1,-1,-1,-1
259,10004260_638517719536759_1178224401_a,4.727,-1,1,-1,-1,-1,1,-1,-1
260,10004260_646462925402522_1814967910_a,4.57,1,1,-1,-1,-1,1,-1,-1
261,10004260_689412154458421_1123912824_a,4.3,1,1,-1,-1,-1,1,-1,-1
262,10004267_1433179686928693_889722503_a,3.625,-1,1,-1,-1,-1,1,-1,-1
263,10004269_1454666544768815_1101950785_a,3.819,-1,-1,-1,-1,-1,-1,-1,-1
264,10004271_1460165490881665_1238762847_a,4.243,1,-1,-1,-1,-1,1,-1,-1
265,10004271_1485100251718400_1258216540_a,3.569,1,1,-1,-1,-1,1,-1,-1
266,10004271_1490518214501409_1635698244_a,4.878,-1,-1,-1,-1,-1,1,-1,-1
267,10004271_1494824987404281_369219791_a,4.365,1,1,-1,-1,-1,-1,-1,-1
268,10004271_215005582043287_1645709942_a,3.645,-1,1,-1,-1,1,-1,-1,-1
269,10004271_238251109701081_114235230_a,3.8680000000000003,-1,-1,-1,-1,-1,-1,1,-1
270,10004271_297737417051138_1530804872_a,5.393,-1,1,-1,-1,-1,1,-1,-1
271,10004271_381253768681042_1103232805_a,4.98,-1,-1,-1,-1,-1,1,-1,-1
272,10004271_467404076723645_828572745_a,4.114,-1,1,-1,-1,-1,1,-1,-1
273,10004271_490200724435644_145354851_a,4.293,1,0,-1,-1,-1,-1,-1,-1
274,10004271_691065157599264_1899753460_a,4.669,-1,-1,-1,-1,-1,1,-1,-1
275,10004273_1421048728148902_424109018_a,4.276,-1,1,-1,-1,-1,1,-1,-1
276,10004273_299377380214214_879316337_a,4.342,-1,1,-1,-1,-1,1,-1,-1
277,10004275_1456003064634104_618424848_a,4.138999999999999,1,1,-1,-1,-1,-1,-1,-1
278,10004275_1474670449429996_470449778_a,3.875,1,1,-1,-1,-1,-1,-1,-1
279,10004275_1477698092448142_1235254474_a,4.868,-1,-1,-1,-1,-1,1,-1,-1
280,10004275_204708119738139_857940554_a,4.2989999999999995,-1,-1,-1,-1,-1,-1,-1,-1
281,10004275_253553998161778_814343627_a,4.211,-1,-1,-1,-1,-1,1,-1,-1
282,10004275_448950428568559_544493208_a,3.555,-1,1,-1,-1,-1,1,-1,-1
283,10004275_511144768997205_480275374_a,4.761,1,1,-1,-1,-1,1,-1,-1
284,10004275_621692204567557_271055811_a,4.019,-1,1,-1,-1,-1,1,-1,-1
285,10004275_646400168766880_1706204118_a,4.728,-1,1,-1,-1,-1,1,-1,-1
286,10004275_761612273863370_932607264_a,2.7739999999999996,-1,1,-1,-1,-1,-1,-1,-1
287,10004275_818718201490015_1239261657_a,2.9010000000000002,-1,1,-1,-1,-1,1,-1,-1
288,10004285_1390483334509751_1896867272_a,4.287,-1,-1,-1,-1,-1,1,-1,-1
289,10004285_1399937420281399_1324005095_a,4.474,1,1,-1,-1,-1,1,-1,-1
290,10004285_1403451319928026_1479641624_a,4.189,-1,1,-1,-1,-1,1,-1,-1
291,10004285_1422159361375541_518414415_a,4.957,-1,-1,-1,-1,-1,1,-1,-1
292,10004285_230282140505779_1968503688_a,4.95,1,1,-1,-1,-1,1,-1,-1
293,10004285_238255289632112_951689539_a,4.827,-1,-1,-1,-1,1,-1,-1,-1
294,10004285_308775275913841_1897455032_a,4.208,-1,-1,-1,-1,-1,1,-1,-1
